"id","nome","ano_lancamento","dev_publisher","plataforma","genero","engine_tech","status_codigo","metodo_modificacao","dificuldade","esforco_horas","viabilidade_claude","raciocinio_dificuldade","dilemas_compativeis","aderencia_psyfun","exemplo_concreto","popularidade","idade_publico","requisitos_tecnicos","custo_licencas","risco_tos","links","imagens","observacoes","fonte_agente"
"otree-dictator","oTree Dictator Game","2016","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","App mais simples do oTree — 2 pages, 1 decisão.","DG","5","Distribuir sementes entre o próprio saco e o saco do parceiro. Interface drag-and-drop, sem exibir números.","sample oficial","7+","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library/tree/master/dictator","","Útil como baseline de altruísmo puro, controle para UG.","research-serious"
"otree-trust","oTree Trust Game (Berg-Dickhaut-McCabe)","2016","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","App referência em otree_library. Investment multiplicado por 3, return decision pelo trustee.","TG","5","Envio de 'energia' a aliado que amplifica 3x; aliado decide quanto devolver. Visual: feixe de luz que cresce ao atravessar o trustee.","sample oficial","all-ages","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library/tree/master/trust","","Também existe variant Trust with Punishment. Multi-round version disponível.","research-serious"
"otree-stag-hunt","oTree Stag Hunt","2017","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","Matrix game com equilíbrio payoff-dominant vs risk-dominant. Simples.","SH|CPG","5","Dois caçadores escolhem cervo (coop alto) ou lebre (sozinho seguro). Ícones animais, escolha por clique.","sample comunitário","7+","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library","","Útil pra estudar coordenação vs cooperação.","research-serious"
"freeciv","Freeciv","1996","Freeciv Team (Sid Meier inspired)","windows|mac|linux|web|android","4x-strategy","C / GTK","open-source","mod-loader-oficial","2","S","5","GPLv2, multiplayer nativo robusto (até 30p), rulesets editáveis em txt puro, web client disponível; PD entre civs é literal","PD|SH|PG|TG|BG|CG","5","Ruleset custom onde diplomacia entre 2 civs reduz a 'declarar guerra vs assinar paz' binário por turno, loga escolhas; literalmente PD iterado","GitHub 2k+ stars, 25+ anos de comunidade, torneios online","10+","C, Ruleset format, Lua scripting opcional","100% grátis","1","https://www.freeciv.org | https://github.com/freeciv/freeciv | https://play.freeciv.org | https://www.freeciv.org/","","CANDIDATO MUITO FORTE: multiplayer real, PD literal na diplomacia","classic-reimpl|itch-source"
"zandronum","Zandronum","2012","Zandronum Team (ZDoom fork)","windows|mac|linux","fps","C++ / ZScript","open-source","mod-loader-oficial","2","S","5","GPLv3, fork GZDoom focado em multiplayer massivo (64p), ACS + DECORATE, servidores públicos; IDEAL pra experimentos coop","PD|PG|CG|SH","5","Mod ACS com pool de munição compartilhada por time: cada kill deposita no pool (coop) ou no estoque pessoal (trair). 16 jogadores simultâneos","GitHub ativo, servidor público 24/7 com ~200 players diários","16+","ACS, DECORATE, SLADE","engine grátis; WAD R$10","1","https://zandronum.com | https://github.com/Torr-Samaho/Zandronum","","CANDIDATO TOP: multiplayer massivo + scripting maduro + servers públicos","classic-reimpl"
"ioquake3","ioquake3","2005","ioquake3 Team (id Software original)","windows|mac|linux","fps","C / OpenGL","open-source","code-fork","2","S","5","GPLv2, Q3 VM engine, QVM bytecode compilado de C (cgame.qvm/game.qvm), multiplayer 16p+, dezenas de mods grandes (Urban Terror, CPMA, Tremulous/Unvanquished); EXCELENTE base","PD|PG|SH|CG","5","Fork de cgame/game QVM: mod CTF onde flag compartilhada dá pontos pro time ao deixar no meio (PG) vs pegar pra si (trair). Log de decisões por evento server-side","GitHub 1.3k+ stars, base de Tremulous, Unvanquished, World of Padman, Warsow original","13+","C, Q3 VM","engine grátis; Quake 3 R$25 ou OpenArena grátis","1","https://ioquake3.org | https://github.com/ioquake/ioq3","","CANDIDATO TOP: base madura, multiplayer, scripting acessível","classic-reimpl"
"openarena","OpenArena","2005","OpenArena Team","windows|mac|linux","fps","C / ioquake3","open-source","code-fork","2","S","5","GPLv2, Q3 sem assets Q3 (grátis 100%), fork de ioquake3; mesma capability","PD|PG|SH|CG","5","Mesmo que ioquake3 mas sem custo de assets","GitHub ativo, servers públicos","13+","C, Q3 VM","100% grátis","1","https://openarena.ws | https://github.com/OpenArena/engine","","Zero-cost version do ioquake3","classic-reimpl"
"love2d","LÖVE","2008","LÖVE community","windows|mac|linux|android|ios","game-framework","Lua / C++","open-source","template-engine","2","S","5","ZLIB, Lua framework minimal, Claude escreve jogo do zero facilmente; many templates existem","PD|PG|SH|UG|DG|TG|CG|CPG|BG","5","Template 2p local split-screen ~500 linhas Lua: cooperar/trair por rodada, payoff visual","GitHub 11k+ stars, thousands of games","all-ages","Lua 5.1","grátis","1","https://love2d.org | https://github.com/love2d/love","","Framework vs reimpl, mas maturidade+Lua torna IDEAL pra piloto","classic-reimpl"
"widelands","Widelands","2002","Widelands Team (Settlers II inspired)","windows|mac|linux","rts-economic","C++ / Lua","open-source","mod-loader-oficial","2","S","5","GPLv2, C++ + Lua scripting extensivo, multiplayer nativo, economy deep — similar Settlers/Anno","PD|PG|CG|BG|SH","5","Multi-player com pool comercial: cada jogador pode trade pro aliado (coop) ou acumular (trair). Log Lua","GitHub 600+ stars, 20 anos de dev, comunidade ativa","all-ages","Lua, C++","100% grátis","1","https://www.widelands.org | https://github.com/widelands/widelands | https://widelands.org","","FORTE: Lua scripting + multiplayer + economia","classic-reimpl|party-multiplayer"
"0ad","0 A.D.","2010","Wildfire Games","windows|mac|linux","rts","Pyrogenesis (C++ / JS)","open-source","mod-loader-oficial","2","S","5","GPL+CC, JavaScript mod API + XML data, multiplayer 8p lobby público; qualidade comercial","PD|SH|CG|BG|PG","5","Mod JS em ingame market: alocar recursos pro tributo ao aliado (PG) vs tesouro pessoal (trair); logging fácil","GitHub 2.8k+ stars, 500k+ downloads, lobby global ativo","10+","JavaScript, XML","100% grátis","1","https://play0ad.com | https://github.com/0ad/0ad | https://play0ad.com/","","CANDIDATO TOP: qualidade AAA, JS mod, multiplayer real, grátis","classic-reimpl|itch-source|party-multiplayer|tabletop-digital"
"battle-for-wesnoth","Battle for Wesnoth","2003","David White / Wesnoth Team","windows|mac|linux|android|ios","turn-based-strategy","C++ / WML / Lua","open-source","mod-loader-oficial","2","S","5","GPLv2, WML (mark-up declarativo) + Lua scripting, multiplayer hot-seat + online 8p, add-on server com milhares de campanhas","PD|SH|CG|BG","5","Scenario WML 2p: tesouro compartilhado, gastar em upgrade do time (PG) vs manter pra si (trair) — turn-by-turn logging","GitHub 2.5k+ stars, comunidade 20 anos, 300k+ downloads","10+","WML, Lua","100% grátis","1","https://www.wesnoth.org | https://github.com/wesnoth/wesnoth | https://www.wesnoth.org/","","CANDIDATO TOP: turn-based é IDEAL pra decisão binária por rodada","classic-reimpl|itch-source"
"mindustry","Mindustry","2017","Anuken","windows|mac|linux|android|ios","tower-defense-factory","Java / libGDX","open-source","mod-loader-oficial","2","S","5","GPLv3, Java moderno, mod loader oficial com JSON+JS, multiplayer 64p+ coop nativo, fábricas compartilhadas","PG|CG|SH","5","Coop 8p com resources compartilhados globalmente no mapa: cada jogador deposita material no core comum (PG) ou açambarca em depósito próprio (trair)","GitHub 23k+ stars, Steam 97% 60k reviews, F2P em Steam","10+","Java, JSON/JS mods","grátis","1","https://mindustrygame.github.io | https://github.com/Anuken/Mindustry | https://anuke.itch.io/mindustry","","CANDIDATO TOP: coop massivo + mod JSON/JS + Java moderno","classic-reimpl|itch-source|mobile-foss|party-multiplayer"
"discord-activities","Discord Activities (Embedded App SDK)","2022","Discord","windows|mac|linux|android|ios|web","plataforma-apps-embedded","Web (JS/TS) / Embedded App SDK","sdk-oficial","api-publica","2","S","5","Activities são apps web (iframe) com SDK JS; Claude faz sites com bibliotecas sólidas (React, Phaser, PixiJS). Auth integrada.","PD|PG|SH|UG|DG|SD|TG|CG|CPG|BG","5","Activity custom que roda num voice channel: amigos iniciam e recebem N rodadas de PD com UI visual; resultados vão pra DB da equipe.","centenas de milhões de users Discord; Activities em crescimento 2023+","13+","Node.js, hosting HTTPS, Discord Developer Portal","grátis (hosting opcional R$30/mês)","1","https://discord.com/developers/docs/activities/overview","","Melhor viabilidade Claude do catálogo. Plataforma social já existente (grupos de amigos).","creative-platforms|reverse-gray"
"tabletop-simulator-workshop","Tabletop Simulator (Steam Workshop)","2015","Berserk Games","windows|mac|linux","plataforma-tabletop","Unity / Lua","sdk-oficial","scripting-in-game","2","S","5","Lua scripting oficial; milhares de mods abertos; Claude escreve direto.","PD|PG|SH|UG|DG|SD|TG|CG|CPG|BG","5","Mesa custom com cartas coop/trair; Lua registra escolhas e envia para webhook.","2M+ cópias, milhares de mods Workshop","all-ages","TTS (US$20), Lua","US$20","1","https://steamcommunity.com/app/286160/workshop/","","Provavelmente a plataforma mais direta pra protótipo tabletop de dilema.","creative-platforms"
"boardgame-io","boardgame.io (framework)","2017","Nicolo John Davis","web","board-framework","JS/TS","open-source","template-engine","2","S","5","MIT. Framework para board games multiplayer. Docs ótimos. Claude domina.","PD|PG|BG|UG|DG|TG|CG","5","Framework perfeito pra construir qualquer jogo turn-based com dilema. State sync pronto.","GitHub 10k+ stars","all-ages","TS, React","grátis","1","https://github.com/boardgameio/boardgame.io | https://boardgame.io","","Melhor fit pra experimentos de dilemas multiplayer turn-based","html5-web|party-multiplayer"
"liars-dice-web","Liar's Dice / Perudo (FOSS)","2020","community","web","dice-bluff","Node + Socket.IO","open-source","code-fork","2","S","5","Clones FOSS.","TG|PD","5","Bluff nativo — PD/TG puro.","jogo milenar","10+","Node","grátis","1","https://github.com/topics/liars-dice","","Excelente PsyFun fit","html5-web"
"coup-web","Coup (FOSS clone)","2020","community","web","card-bluff","Node + React","open-source","code-fork","2","S","5","Clones Coup existem.","TG|PD","5","Jogo de bluff/traição. Core é PD.","Coup 1M+ cópias","13+","Node","grátis","3","https://github.com/topics/coup-game","","Marca Indie Boards & Cards","html5-web"
"spyfall-web","Spyfall (FOSS)","2018","community","web","social-deduction","Node","open-source","code-fork","2","S","5","Clones FOSS.","TG|PD","5","Spy vs players.","Spyfall 500k+ cópias","13+","Node","grátis","2","https://github.com/topics/spyfall","","Social deduction","html5-web"
"slingshot-phaser","Slingshot Phaser clone (FOSS)","2018","community","web","physics","Phaser + Matter","open-source","code-fork","2","S","5","Angry Birds-like abundam.","PG|PD","5","Slingshot é referência PsyFun — mirar alvo comum vs pessoal.","abundante","all-ages","Phaser","grátis","1","https://github.com/topics/angry-birds","","Match direto com Slingshot Challenge PsyFun","html5-web"
"prisoners-dilemma-simulator","Prisoner's Dilemma simulators (web)","2017","Nicky Case + outros","web","educational-sim","JS","open-source","code-fork","2","S","5","Nicky Case 'Evolution of Trust' é MIT.","PD","5","Já é PD puro — base ideal pra comparar.","Nicky Case 15M+ visualizações","10+","JS","grátis","1","https://github.com/ncase/trust | https://ncase.me/trust/","","Nicky Case trust é referência direta. Must-have!","html5-web"
"evolutionofcoop","Coopetition (Nicky Case adjacent)","2019","community","web","educational-sim","JS","open-source","code-fork","2","S","5","Sim sims.","PD|PG","5","Direto aplicável.","nicho","10+","JS","grátis","1","https://github.com/topics/evolution-simulation","","Categoria","html5-web"
"alakajam-trustworks","Alakajam 'Trust' themed entries","2021","jam community","web","jam-collection","varies","open-source","code-fork","2","S","5","Alakajam source obrigatório. Trust theme — dilemas diretos","TG|PD","5","Diversas entries com mecânica confiar/trair já embutida","jam","all-ages","varies","gratuito","1","https://alakajam.com/events/","","TOP PICK — filtrar por 'Trust' theme","itch-source"
"among-thieves-jam","Among Thieves (jam co-op heist)","2021","jam","web","heist","Godot","open-source","code-fork","2","S","5","Jam Godot, source","PD|PG","5","Final heist: cada ladrão escolhe trair e ficar com o saque ou dividir (direct PD)","jam","10+","Godot","gratuito","1","https://itch.io/games/tag-heist/tag-open-source","","Placeholder — várias entries tipo esse. TOP dilemma match","itch-source"
"ncase-evolution-of-trust","The Evolution of Trust (Nicky Case)","2017","Nicky Case","web","educational-interactive","JavaScript","open-source","code-fork","2","S","5","CC0, JS puro, GitHub ncase/trust. Explainable game de IPD — perfeito educational baseline.","PD|TG","5","Já é iterated PD com estratégias. Fork adiciona 2-player real-time vs agente.","5M+ plays, viral","all-ages","JS","CC0","1","https://ncase.me/trust/ | https://github.com/ncase/trust","","GOLD PICK — ponto de partida ideal. Itch mirror existe.","itch-source"
"secret-hitler-foss","Secret Hitler clone FOSS (itch)","2017","varies","web","social-deduction","JS/Node","open-source","code-fork","2","S","5","Clone digitais FOSS existem","PD|TG","5","Voto binary coop/trair nativo","clones ~50k","16+","JS/Node","gratuito","2","https://itch.io/games/tag-social-deduction","","","itch-source"
"avalon-foss","Avalon / Resistance FOSS clones","2018","varies","web","social-deduction","JS","open-source","code-fork","2","S","5","Multiple FOSS implementations","PD|TG","5","Voto approve/reject missão","clones moderate","13+","JS","gratuito","2","https://github.com/topics/avalon","","","itch-source"
"town-of-salem-clone","Town of Salem FOSS clones","2019","varies","web","social-deduction","JS/Node","open-source","code-fork","2","S","5","","PD","5","","jam/clones","13+","Node","gratuito","2","https://github.com/topics/town-of-salem","","","itch-source"
"skull-roses-digital","Skull (bluffing game) digital","2020","jam","web","bluffing","JS","open-source","code-fork","2","S","5","","TG","5","Bluff é literal trust game","nicho","13+","JS","gratuito","2","https://itch.io/games/tag-bluffing","","","itch-source"
"coup-digital-foss","Coup-like FOSS digital","2019","varies","web","bluffing","JS","open-source","code-fork","2","S","5","","TG|PD","5","","nicho","13+","JS","gratuito","3","https://github.com/topics/coup-game","","Cópia IP questionável","itch-source"
"werewolf-clones","Werewolf/Mafia FOSS digital","2018","varies","web","social-deduction","JS/Node","open-source","code-fork","2","S","5","Muitos FOSS","PD|TG","5","Voto de eliminação já é decisão","múltiplas variantes","13+","Node","gratuito","1","https://github.com/topics/werewolf","","","itch-source"
"trademark-jam-trader","Trading jam entries (itch 'trader' tag)","2019","varies","web|windows","trading","varies","open-source","code-fork","2","S","5","","BG|TG|UG","5","Jogo de trade multi-player direto é BG iterated","itch tag trading ~500 jogos","10+","varies","gratuito","1","https://itch.io/games/tag-trading","","TOP PICK — trading é natural BG/UG","itch-source"
"dungeons-and-dilemmas","Dungeons and Dilemmas (jam)","2022","jam","web","tactics-narrative","Godot/Ink","open-source","code-fork","2","S","5","","PD|DG","5","Já tem dilema no título","jam","12+","Godot","gratuito","1","https://itch.io/games/tag-dilemma","","","itch-source"
"greed-of-kings","Greed of Kings (trading jam)","2020","jam","web","trading-medieval","JS","open-source","code-fork","2","S","5","","BG|UG","5","","jam","10+","JS","gratuito","1","https://itch.io/games/tag-medieval/tag-trading","","","itch-source"
"fair-share-jam","Fair Share jam entries","2019","jam","web","resource-split","varies","open-source","code-fork","2","S","5","","UG|DG","5","Tema 'Fair Share' — entries fazem UG/DG direto","jam","10+","varies","gratuito","1","https://itch.io/games/tag-fair","","","itch-source"
"cowards","Cowards (jam defector)","2020","jam","web","strategy","Godot","open-source","code-fork","2","S","5","","SD","5","Chicken/Snowdrift direct","jam","10+","Godot","gratuito","1","https://itch.io/games/tag-snowdrift","","","itch-source"
"commons-tragedy","Tragedy of the Commons sim","2020","edu","web","educational","JS","open-source","code-fork","2","S","5","","CG","5","","nicho edu","all-ages","JS","gratuito","1","https://itch.io/games/tag-commons","","","itch-source"
"minetest-android","Minetest (Android build)","2014","Minetest community","android|windows|linux|mac","sandbox-voxel","C++ + Lua mod API","open-source","scripting-in-game","2","S","5","Clone open de Minecraft; Lua modding oficial; multiplayer nativo","CG|PG|SH|TG|PD","5","Build mod Lua com baus compartilhados (PG) ou recursos finitos no mapa (Commons) — mod em Lua pura sem tocar C++","Play Store 5M+, F-Droid hosted","all-ages","Lua 5.1 mod API","LGPL / CC-BY-SA","1","https://github.com/minetest/minetest | https://www.minetest.net","","Excelente candidato — Lua API robusta; trivial instrumentar","mobile-foss"
"secret-hitler-io","Secret Hitler Online","2016","secrethitler.io (FOSS)","web","social-deduction","Node.js + Socket.io","open-source","code-fork","2","S","5","FOSS (GPL-3), Node.js, código limpo. Secret Hitler é PD/trust maciço.","TG|PD|BG","5","Fork do secrethitler.io, adicionar logging de votos, discussão chat, roles revelados. Dataset de trust/deception 5-10 jogadores","~100k MAU, original BGG top 200","13+","Node.js, Socket.io, MongoDB","free (GPL)","1","https://github.com/cozuya/secret-hitler | https://secrethitler.io","","TOP: FOSS + social deduction. Excelente escolha","party-multiplayer|tabletop-digital"
"unfabled","Unfabled","2021","indie","web","social-deduction","Node.js","open-source","code-fork","2","S","5","Repo GitHub pequeno de Mafia-like, Node + JS simples.","PD|PG","5","Mafia clássico modificável.","nicho — dezenas de instâncias","13+","Node.js","grátis","1","https://github.com/topics/mafia-game","","Buscar repo mais maintained na tag topic.","party-multiplayer"
"minecraft-murder-mystery","Minecraft Murder Mystery (plugin)","2015","community (Spigot)","windows|mac|linux","social-deduction","Java (Paper plugin)","open-source","mod-loader-oficial","2","S","5","Plugin Java, fork fácil. Vários repos GitHub.","PD","5","Innocent/murderer/detective — clássico. Modificar voting payoff natural.","Hypixel clone, milhões de partidas","10+","Java, Paper","Minecraft","2","https://github.com/topics/murder-mystery","","Família de plugins maduros.","party-multiplayer"
"eco-global-survival","Eco","2018","Strange Loop Games","windows|mac","eco-sim","Unity","sdk-oficial","mod-loader-oficial","2","S","5","C# + Lua + modding API oficial. Já cobrado por party-multiplayer mas incluir como nota: PERFEITO pra PsyFun","CG|PG|BG","5","Econ/ecology in-game já modela tragedy of commons nativamente; leis votáveis; moeda interna. Literalmente uma plataforma de experimento social","Steam 74% 15k reviews","13+","C#, Lua","jogo R$60","1","https://play.eco | https://wiki.play.eco/en/Modding | https://store.steampowered.com/app/382310","","Duplicata de party-multiplayer; notar para consolidador","party-multiplayer|sdk-aaa"
"one-night-ultimate-werewolf","One Night Ultimate Werewolf (online)","2015","Bezier Games (fan-made apps)","web|android|ios","social-deduction","varies","open-source","code-fork","2","S","5","Forks FOSS simples; uma noite = protocolo limpo.","PD","5","Mafia 1-night, decisões rápidas. Ideal pra experimentos curtos.","milhares de partidas","10+","JS","grátis","2","https://github.com/topics/one-night-werewolf | https://beziergames.com/products/one-night-ultimate-werewolf","","Boa opção por rodadas curtas (~10 min).","party-multiplayer|tabletop-digital"
"resistance-avalon-online","The Resistance / Avalon (online)","2016","fan FOSS","web","social-deduction","Node.js","open-source","code-fork","2","S","5","Mecânica de mission approval/fail é PD explícito em rodadas.","PD|PG|SH","5","Espiões podem aprovar ou sabotar missão — dilema em cada rodada.","proavalon.com ativo, milhares de usuários","13+","Node.js, Socket.io","grátis","2","https://proavalon.com | https://github.com/ProAvalon/proavalon","","GOLD — estrutura de rodadas com decisão binária coop/trair é idêntica ao que PsyFun quer.","party-multiplayer"
"tabletop-simulator","Tabletop Simulator","2015","Berserk Games","windows|mac|linux","sandbox-tabletop","Unity","sdk-oficial","scripting-in-game","2","S","5","Lua scripting nativo in-game; tabelas, cards, dice; Workshop com 100k+ mods. Duplicata de party-multiplayer","PD|PG|UG|DG|TG|BG|CG|CPG","5","Literalmente faz-se tabuleiros PD iterado, Ultimatum, Dictator em minutos. Duplicata — consolidador decide","Steam 87% 100k reviews, 5M+ copies","10+","Lua","jogo R$40","1","https://www.tabletopsimulator.com | https://api.tabletopsimulator.com | https://store.steampowered.com/app/286160 | https://api.tabletopsimulator.com/","","Duplicata — party-multiplayer já lista. Incluo pelo valor","party-multiplayer|sdk-aaa|tabletop-digital"
"web-based-pd-experiments","oTree (web framework for experiments)","2016","Chen, Schonger & Wickens","web","academic-experiment-framework","Django (Python)","open-source","code-fork","2","S","5","Framework acadêmico Python pra experimentos de game theory. Usado em 500+ papers.","PD|PG|UG|DG|SD|TG|CG|CPG|BG","5","Framework é LITERALMENTE feito pra rodar experimentos PD/PG/UG/DG. Templates prontos.","otree.org — milhares de laboratórios usam, 500+ papers","all-ages","Python, Django","grátis MIT","1","https://www.otree.org | https://github.com/oTree-org/otree","","GOLD ABSOLUTO — não é 'jogo com polish moddável', mas é o padrão acadêmico da área. Baseline obrigatório de comparação. PsyFun deve conhecer.","party-multiplayer"
